06/07/2018 04:30:58 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
06/07/2018 06:08:36 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
06/07/2018 06:57:13 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
06/07/2018 11:14:05 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
06/07/2018 11:19:22 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
06/07/2018 11:19:38 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
06/07/2018 12:02:10 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
06/07/2018 17:44:48 | SUCCESS | Bulk Add Content Viewer(Array,NC16) | By-Geetanjali_ott488 | 
06/07/2018 17:45:14 | SUCCESS | Bulk Add Content Viewer(Array,NC16) | By-Geetanjali_ott488 | 
06/07/2018 17:46:10 | SUCCESS | Bulk Add Content Viewer(Array,NC16) | By-Geetanjali_ott488 | 
06/07/2018 17:46:47 | SUCCESS | Bulk Add Content Viewer(Array,NC16) | By-Geetanjali_ott488 | 
06/07/2018 12:18:04 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
06/07/2018 12:19:36 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
06/07/2018 12:21:03 | SUCCESS | login-(Ados) | By-Ados_ott488 | 
06/07/2018 12:29:15 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
