27/03/2018 03:48:20 | SUCCESS | Home Setting active(HomeID:8,Status:active) | By-Pitara_ott811 | 
27/03/2018 03:48:25 | SUCCESS | Home Setting inactive(HomeID:8,Status:inactive) | By-Pitara_ott811 | 
27/03/2018 04:24:15 | ERROR-SQL | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:25:43 | ERROR-SQL | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:27:23 | ERROR-SQL | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:28:40 | ERROR-SQL | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:30:53 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:31:46 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:50:32 | SUCCESS | update Slider Detail(,'jhkhjkhjkhjkhjkvc santosh') | By-Pitara_ott811 | 
27/03/2018 04:51:09 | SUCCESS | update Slider Detail(,'jhkhjkhjkhjkhjkvc santosh yes test') | By-Pitara_ott811 | 
27/03/2018 04:51:58 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:52:07 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:52:18 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:52:30 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 04:52:43 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 22:42:43 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 22:44:26 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 22:44:32 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 22:44:38 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
27/03/2018 22:44:55 | SUCCESS | Add New Slider Image() | By-Pitara_ott811 | 
