28/03/2018 00:04:22 | SUCCESS | Slider image active(SliderID:64,Status:active) | By-Pitara_ott811 | 
28/03/2018 00:04:25 | SUCCESS | Slider image inactive(SliderID:64,Status:inactive) | By-Pitara_ott811 | 
28/03/2018 00:04:48 | SUCCESS | Slider image active(SliderID:64,Status:active) | By-Pitara_ott811 | 
28/03/2018 00:06:46 | SUCCESS | Slider image inactive(SliderID:64,Status:inactive) | By-Pitara_ott811 | 
28/03/2018 00:06:48 | SUCCESS | Slider image active(SliderID:64,Status:active) | By-Pitara_ott811 | 
28/03/2018 00:22:13 | SUCCESS | Slider image inactive(SliderID:64,Status:inactive) | By-Pitara_ott811 | 
28/03/2018 00:22:15 | SUCCESS | Slider image active(SliderID:64,Status:active) | By-Pitara_ott811 | 
28/03/2018 00:22:24 | SUCCESS | update Slider Detail(,'jhkhjkhjkhjkhjkvc santosh yes test111') | By-Pitara_ott811 | 
28/03/2018 00:46:38 | SUCCESS | update Slider Detail(,'jhkhjkhjkhjkhjkvc santosh yes test111tertt') | By-Pitara_ott811 | 
28/03/2018 00:50:14 | SUCCESS | update Slider Detail(,'yes this is testing') | By-Pitara_ott811 | 
28/03/2018 00:51:58 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 00:52:44 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 00:53:57 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 00:57:29 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 00:57:34 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 00:57:50 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 00:58:07 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:01:48 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:02:05 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:02:25 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:03:54 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:04:02 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:04:37 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:04:42 | SUCCESS | update Slider Detail(,'yes this is testingtett5t') | By-Pitara_ott811 | 
28/03/2018 01:04:50 | SUCCESS | update Slider Detail(,'yes this is testingtett5tghgfhfgh') | By-Pitara_ott811 | 
28/03/2018 01:05:17 | SUCCESS | update Slider Detail(,'rereterterter testing') | By-Pitara_ott811 | 
28/03/2018 01:05:24 | SUCCESS | update Slider Detail(,'rereterterter testing') | By-Pitara_ott811 | 
28/03/2018 01:05:36 | SUCCESS | update Slider Detail(,'rereterterter testingdsd') | By-Pitara_ott811 | 
28/03/2018 02:14:55 | SUCCESS | Add New Content Partner(santosh) | By-Pitara_ott811 | 
28/03/2018 06:56:53 | SUCCESS | update Content Partner Detail(santosh partner) | By-Pitara_ott811 | 
28/03/2018 06:59:42 | SUCCESS | update Content Partner Detail(santosh partner1) | By-Pitara_ott811 | 
