29/03/2018 05:41:45 | SUCCESS | login-(Array['name']) | By-Pitara_ott811 | 
29/03/2018 05:46:27 | SUCCESS | login-(Pitara) | By-Pitara_ott811 | 
29/03/2018 05:50:54 | SUCCESS | login-(santosh partner1) | By-santosh partner1_ott811 | 
29/03/2018 08:11:04 | SUCCESS | login-(Pitara) | By-Pitara_ott811 | 
29/03/2018 15:23:15 | SUCCESS | Add New Dashboard user (tets) | By-Pitara_ott811 | 
29/03/2018 16:21:57 | SUCCESS | update Dashboard user(santoshdh) | By-Pitara_ott811 | 
29/03/2018 16:22:18 | SUCCESS | update Dashboard user(santoshdh) | By-Pitara_ott811 | 
29/03/2018 16:23:01 | SUCCESS | update Dashboard user(santoshdh) | By-Pitara_ott811 | 
29/03/2018 16:29:22 | SUCCESS | Add New Dashboard user (param) | By-Pitara_ott811 | 
29/03/2018 16:30:14 | SUCCESS | update Dashboard user(param1) | By-Pitara_ott811 | 
29/03/2018 16:30:25 | SUCCESS | update Dashboard user(param1) | By-Pitara_ott811 | 
29/03/2018 17:00:55 | SUCCESS | update Dashboard user(anupam) | By-Pitara_ott811 | 
29/03/2018 17:01:01 | SUCCESS | update Dashboard user(anupam) | By-Pitara_ott811 | 
