06/12/2018 06:36:38 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
06/12/2018 07:37:06 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
06/12/2018 13:07:43 | SUCCESS | Header Menu active(HeaderID:65,Status:active) | By-jeeyaho_ott333 | 
06/12/2018 07:48:31 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
06/12/2018 13:19:23 | SUCCESS | Header Menu inactive(HeaderID:65,Status:inactive) | By-jeeyaho_ott333 | 
06/12/2018 13:19:40 | SUCCESS | Save Access Control(0_nxlbo5s4) | By-jeeyaho_ott333 | 
06/12/2018 13:21:10 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 13:21:29 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 13:21:51 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 13:22:03 | SUCCESS | Header Menu active(HeaderID:65,Status:active) | By-jeeyaho_ott333 | 
06/12/2018 13:28:40 | SUCCESS | Save Thumbnail(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 13:33:56 | SUCCESS | Header Menu inactive(HeaderID:65,Status:inactive) | By-jeeyaho_ott333 | 
06/12/2018 09:00:40 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
06/12/2018 14:31:27 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 14:33:53 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 14:36:38 | SUCCESS | Save Access Control(0_nxlbo5s4) | By-jeeyaho_ott333 | 
06/12/2018 14:37:11 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 09:08:16 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
06/12/2018 14:58:22 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 14:58:45 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
06/12/2018 09:32:14 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
06/12/2018 15:02:27 | SUCCESS | Save Access Control(0_zj8myxuk) | By-jeeyaho_ott333 | 
