01/11/2017 10:34:50 | SUCCESS | Save New video(0_63oyfcs6) | By-Test_ott025 | 
01/11/2017 10:35:47 | SUCCESS | Save New video(0_ewp7o8xl) | By-Test_ott025 | 
01/11/2017 10:36:14 | SUCCESS | Save New video(0_yutyk3g6) | By-Test_ott025 | 
01/11/2017 12:34:05 | SUCCESS | update Slider Detail(sssss,'anssnjs') | By-Test_ott025 | 
01/11/2017 12:38:47 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 15:10:58 | SUCCESS | update Slider Detail(hhhgggfgfg,'') | By-Test_ott025 | 
01/11/2017 15:11:45 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:46 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:47 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:47 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:47 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:47 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:49 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:49 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:49 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:50 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:50 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:50 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:51 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:52 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:53 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:53 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:11:57 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:12:01 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:12:01 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:12:05 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
01/11/2017 15:12:39 | SUCCESS | Add New Slider Image(C:\fakepath\VA151515.jpg) | By-Test_ott025 | 
01/11/2017 15:15:01 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 15:42:09 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 15:42:48 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 15:43:57 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:43:59 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:00 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:00 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:00 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:02 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:02 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:03 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:03 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:03 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:03 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:03 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:04 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:04 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:07 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:07 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:08 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:08 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:08 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 15:44:37 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:38 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
