02/11/2017 10:00:02 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 10:00:37 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 10:00:59 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 11:02:14 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
02/11/2017 11:02:33 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
02/11/2017 11:03:13 | SUCCESS | Add New Slider Image(C:\fakepath\VA151515.jpg) | By-Test_ott025 | 
02/11/2017 11:04:45 | SUCCESS | Add New Slider Image(C:\fakepath\VA666555.jpg) | By-Test_ott025 | 
02/11/2017 11:05:57 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
02/11/2017 11:10:23 | SUCCESS | Add New Slider Image(C:\fakepath\VA666555.jpg) | By-Test_ott025 | 
02/11/2017 11:19:45 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
02/11/2017 11:21:30 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 11:26:21 | SUCCESS | Add New Slider Image(C:\fakepath\VA474747.jpg) | By-Test_ott025 | 
02/11/2017 11:26:57 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
02/11/2017 11:34:50 | SUCCESS | Add New Slider Image(C:\fakepath\rogue one.jpg) | By-Test_ott025 | 
02/11/2017 11:36:18 | SUCCESS | Save New video(0_8t3meqs2) | By-Test_ott025 | 
02/11/2017 11:54:28 | SUCCESS | Save New video(0_jsy1n7hp) | By-Test_ott025 | 
02/11/2017 12:09:01 | SUCCESS | Add New Slider Image(C:\fakepath\assassins creed.jpg) | By-Test_ott025 | 
02/11/2017 12:19:00 | SUCCESS | update Slider Detail(,'ddd') | By-Test_ott025 | 
02/11/2017 12:19:21 | SUCCESS | update Slider Detail(kjjjj,'s') | By-Test_ott025 | 
02/11/2017 12:19:34 | SUCCESS | update Slider Detail(rrrrrrrrrr,'ffffffffffffffffffff') | By-Test_ott025 | 
02/11/2017 12:20:55 | SUCCESS | update Slider Detail(,'s') | By-Test_ott025 | 
02/11/2017 12:21:22 | SUCCESS | Add New Slider Image(C:\fakepath\VA151515.jpg) | By-Test_ott025 | 
02/11/2017 12:21:36 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
02/11/2017 12:21:49 | SUCCESS | update Slider Detail(,'f') | By-Test_ott025 | 
02/11/2017 15:36:09 | SUCCESS | update Slider Detail(assainsins,'4544444448484848444444444444444444444444442211111') | By-Test_ott025 | 
02/11/2017 15:43:28 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
02/11/2017 15:44:17 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 15:45:47 | SUCCESS | update Slider Detail(llllllllll,'huihuugyggghiggggygyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy') | By-Test_ott025 | 
02/11/2017 16:03:10 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
02/11/2017 16:05:23 | SUCCESS | Add New Slider Image(C:\fakepath\VA15.jpg) | By-Test_ott025 | 
02/11/2017 16:26:23 | SUCCESS | Add New Slider Image(C:\fakepath\download.jpg) | By-Test_ott025 | 
02/11/2017 16:27:13 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 16:28:29 | SUCCESS | update Slider Detail(cartoon,'') | By-Test_ott025 | 
02/11/2017 16:28:34 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 16:30:24 | SUCCESS | Add New Slider Image(C:\fakepath\download.jpg) | By-Test_ott025 | 
02/11/2017 16:35:34 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
02/11/2017 16:37:27 | SUCCESS | Save New video(0_eog3fxpf) | By-Test_ott025 | 
02/11/2017 16:38:21 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
02/11/2017 16:52:55 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
02/11/2017 16:56:55 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 16:57:27 | SUCCESS | Add New Slider Image(C:\fakepath\VA151515.jpg) | By-Test_ott025 | 
02/11/2017 17:10:59 | SUCCESS | update Slider Detail(0_55g3fxpf,'w') | By-Test_ott025 | 
02/11/2017 17:12:16 | SUCCESS | update Slider Detail(0565g3fxpf,'w') | By-Test_ott025 | 
02/11/2017 17:12:49 | SUCCESS | update Slider Detail(5555g3fxpf,'w') | By-Test_ott025 | 
02/11/2017 17:17:46 | SUCCESS | update Slider Detail([[[[[[[[[[,'') | By-Test_ott025 | 
02/11/2017 17:17:49 | SUCCESS | update Slider Detail([[[[[[[[[[,'') | By-Test_ott025 | 
02/11/2017 17:17:54 | SUCCESS | update Slider Detail([[[[[[[[[[,'') | By-Test_ott025 | 
02/11/2017 17:18:02 | SUCCESS | update Slider Detail([[[[[[[[[[,'') | By-Test_ott025 | 
02/11/2017 17:18:26 | SUCCESS | update Slider Detail(0_eog3fxpf,'w') | By-Test_ott025 | 
02/11/2017 17:18:34 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
02/11/2017 17:26:26 | SUCCESS | update Slider Detail(,'45454545454545454545454544454545454545454545454545454545454545445454545445454854545454547887888787878748787845454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545') | By-Test_ott025 | 
02/11/2017 17:27:13 | SUCCESS | update Slider Detail(,'whhhhhh') | By-Test_ott025 | 
02/11/2017 17:30:47 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
02/11/2017 17:35:32 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-18 12-30-38.png) | By-Test_ott025 | 
02/11/2017 17:35:57 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
02/11/2017 17:47:21 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
02/11/2017 17:48:05 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
02/11/2017 17:48:45 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
02/11/2017 17:48:53 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
02/11/2017 17:49:37 | SUCCESS | update Slider Detail(0_eog3fxpf,'whhhhhh') | By-Test_ott025 | 
02/11/2017 17:49:46 | SUCCESS | update Slider Detail(0_eog3fxpf,'whhhhhh') | By-Test_ott025 | 
02/11/2017 17:51:06 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
02/11/2017 17:54:23 | SUCCESS | update Slider Detail(,'0_eog3fxpf') | By-Test_ott025 | 
02/11/2017 17:55:20 | SUCCESS | update Slider Detail(0_eog3fxpf,'0_eog3fxpf') | By-Test_ott025 | 
