03/11/2017 11:10:21 | SUCCESS | Save New video(0_z5z2bbzq) | By-Test_ott025 | 
03/11/2017 11:14:34 | SUCCESS | Add New Slider Image(C:\fakepath\VAd45674.jpg) | By-Test_ott025 | 
03/11/2017 11:20:32 | SUCCESS | update Slider Detail(0_z5z2bbzq,'0_z5z2bbzq') | By-Test_ott025 | 
03/11/2017 11:49:03 | SUCCESS | Save New video(0_2wbibp5v) | By-Test_ott025 | 
03/11/2017 12:20:16 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:22:30 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-14 22-12-13.png) | By-Test_ott025 | 
03/11/2017 12:31:23 | SUCCESS | Add New Slider Image(C:\fakepath\VA15.jpg) | By-Test_ott025 | 
03/11/2017 12:34:29 | SUCCESS | update Slider Detail(0_z5z2bbzq,'0_z5z2bbzq') | By-Test_ott025 | 
03/11/2017 12:38:09 | SUCCESS | update Slider Detail(0_z5z2bbzq,'0_z5z2bbzqo') | By-Test_ott025 | 
03/11/2017 12:54:42 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:54:50 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:54:53 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:54:56 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:55:05 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:55:10 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:55:30 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:55:43 | SUCCESS | update Slider Detail(,'0_77g3fxpf') | By-Test_ott025 | 
03/11/2017 12:56:26 | SUCCESS | update Slider Detail(,'0_77g3fxpf') | By-Test_ott025 | 
03/11/2017 12:56:56 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:57:07 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:57:35 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:57:44 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:57:57 | SUCCESS | update Slider Detail(,'0_77g3fxpf') | By-Test_ott025 | 
03/11/2017 12:58:25 | SUCCESS | update Slider Detail(0_z5z2bbzq,'0_z5z2bbzqo') | By-Test_ott025 | 
03/11/2017 12:58:30 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 12:58:39 | SUCCESS | update Slider Detail(0_eog3fxpf,'') | By-Test_ott025 | 
03/11/2017 12:58:45 | SUCCESS | update Slider Detail(,'                   ') | By-Test_ott025 | 
