04/11/2017 10:06:13 | SUCCESS | update Slider Detail(0_eog3fxpf,'ssssssssssssssssssssssssssssssssssssssssssssssssdddddddddddsssssssssssdddddddssssssssssssvssssssssssssssssssssssssssssssssssssssssssssssss\'\'\'sssssssssssssssssssssssssssssssss\'\'\'\'\'\'\'\'\'ssssssss') | By-Test_ott025 | 
04/11/2017 11:58:48 | SUCCESS | Add New Slider Image(C:\fakepath\VA15.jpg) | By-Test_ott025 | 
04/11/2017 11:59:47 | SUCCESS | update Slider Detail(,'mmmmmm') | By-Test_ott025 | 
04/11/2017 12:01:08 | SUCCESS | update Slider Detail(0_eog3fxpf,'mmmmmm') | By-Test_ott025 | 
04/11/2017 12:03:38 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
04/11/2017 12:04:13 | SUCCESS | update Slider Detail(,'     ++++++++') | By-Test_ott025 | 
04/11/2017 12:04:44 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
04/11/2017 12:06:19 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
04/11/2017 12:13:29 | SUCCESS | update Slider Detail(,'   -----________()%$**^^^^^%%%') | By-Test_ott025 | 
04/11/2017 14:27:18 | SUCCESS | Add New Slider Image(C:\fakepath\VA151515.jpg) | By-Test_ott025 | 
04/11/2017 14:29:31 | SUCCESS | update Slider Detail(,'                  %$+\r\n1=1=-1                                                                       ') | By-Test_ott025 | 
04/11/2017 14:31:39 | SUCCESS | update Slider Detail(,'ggggggggggggggggggggggggggggggggggggg') | By-Test_ott025 | 
04/11/2017 14:31:51 | SUCCESS | update Slider Detail(,'ggggggggggggggggggggggggggggggggggggg \r\n\r\n\r\n\r\n\r\n\r\n\r\nXC') | By-Test_ott025 | 
04/11/2017 14:32:06 | SUCCESS | update Slider Detail(0_eog3fxpf,'mmmmmmvvvvvvvv\r\n\r\n\r\n\r\n\r\n\r\n\r\nvvv') | By-Test_ott025 | 
04/11/2017 14:33:00 | SUCCESS | update Slider Detail(0_7grqhr56,'v') | By-Test_ott025 | 
04/11/2017 14:39:01 | SUCCESS | update Slider Detail(0_7grqhr56,'') | By-Test_ott025 | 
04/11/2017 14:47:38 | SUCCESS | Add New Slider Image(C:\fakepath\VA666555.jpg) | By-Test_ott025 | 
04/11/2017 14:48:24 | SUCCESS | Save New video(0_c24k78z3) | By-Test_ott025 | 
04/11/2017 14:53:58 | SUCCESS | update Slider Detail(0_7grqhr56,'') | By-Test_ott025 | 
04/11/2017 14:54:29 | SUCCESS | Save New video(0_5jdlkth4) | By-Test_ott025 | 
04/11/2017 14:54:59 | SUCCESS | update Slider Detail(0_5jdlkth4,'') | By-Test_ott025 | 
04/11/2017 15:13:32 | SUCCESS | Add New Slider Image(C:\fakepath\Kalimba.mp3) | By-Test_ott025 | 
04/11/2017 15:18:47 | SUCCESS | Save New video(0_axy7vmds) | By-Test_ott025 | 
04/11/2017 15:20:08 | SUCCESS | update Slider Detail(0_axy7vmds,'') | By-Test_ott025 | 
