08/11/2017 10:18:22 | SUCCESS | Add New Plan (0) | By-Test_ott025 | 
08/11/2017 10:18:59 | SUCCESS | update plan Detail(TESTING) | By-Test_ott025 | 
08/11/2017 10:36:51 | SUCCESS | Add New Plan (free) | By-Test_ott025 | 
08/11/2017 10:45:31 | SUCCESS | Add New Plan (plan test) | By-Test_ott025 | 
08/11/2017 11:04:26 | SUCCESS | Plan inactive(planID:p839,Status:inactive) | By-Test_ott025 | 
08/11/2017 11:09:42 | SUCCESS | update plan Detail(112) | By-Test_ott025 | 
08/11/2017 11:15:39 | SUCCESS | update plan Detail(gh) | By-Test_ott025 | 
08/11/2017 11:16:05 | SUCCESS | update plan Detail(TESTING 111) | By-Test_ott025 | 
08/11/2017 11:16:33 | SUCCESS | update plan Detail(TESTING 111) | By-Test_ott025 | 
08/11/2017 11:21:19 | SUCCESS | update plan Detail(31 	01 	01 da01) | By-Test_ott025 | 
08/11/2017 11:23:32 | SUCCESS | Plan inactive(planID:p645,Status:inactive) | By-Test_ott025 | 
08/11/2017 11:39:29 | SUCCESS | update plan Detail(1) | By-Test_ott025 | 
08/11/2017 11:48:13 | SUCCESS | Add New Slider Image(C:\fakepath\VA151515.jpg) | By-Test_ott025 | 
08/11/2017 11:48:32 | SUCCESS | update Slider Detail(,'11515145415445454545454588888j88888888888888888888888888888888888866666232222221000212124649978796164646464646464646111111111221121212112') | By-Test_ott025 | 
08/11/2017 11:49:18 | SUCCESS | Plan active(planID:p963,Status:active) | By-Test_ott025 | 
08/11/2017 11:49:26 | SUCCESS | Plan active(planID:p602,Status:active) | By-Test_ott025 | 
08/11/2017 11:49:51 | SUCCESS | Plan inactive(planID:p602,Status:inactive) | By-Test_ott025 | 
08/11/2017 11:50:17 | SUCCESS | Plan active(planID:p602,Status:active) | By-Test_ott025 | 
08/11/2017 12:05:34 | SUCCESS | update plan Detail(y) | By-Test_ott025 | 
08/11/2017 12:07:00 | SUCCESS | update plan Detail(y) | By-Test_ott025 | 
08/11/2017 12:07:21 | SUCCESS | update plan Detail(2) | By-Test_ott025 | 
08/11/2017 12:07:47 | SUCCESS | update plan Detail(7) | By-Test_ott025 | 
08/11/2017 12:08:45 | SUCCESS | update plan Detail(7) | By-Test_ott025 | 
08/11/2017 12:08:47 | SUCCESS | update plan Detail(02) | By-Test_ott025 | 
08/11/2017 12:08:51 | SUCCESS | update plan Detail(01) | By-Test_ott025 | 
08/11/2017 12:09:07 | SUCCESS | Plan active(planID:p131,Status:active) | By-Test_ott025 | 
08/11/2017 12:09:18 | SUCCESS | update plan Detail(086868) | By-Test_ott025 | 
08/11/2017 12:15:22 | SUCCESS | update plan Detail(1212121212) | By-Test_ott025 | 
08/11/2017 12:58:50 | SUCCESS | Plan active(planID:p645,Status:active) | By-Test_ott025 | 
08/11/2017 12:58:52 | SUCCESS | Plan inactive(planID:p645,Status:inactive) | By-Test_ott025 | 
08/11/2017 15:12:59 | SUCCESS | Home Setting priority Set | By-varun_ott025 | 
08/11/2017 15:13:09 | SUCCESS | Home Setting inactive(HomeID:6,Status:inactive) | By-varun_ott025 | 
08/11/2017 16:00:14 | SUCCESS | update plan Detail(02) | By-Test_ott025 | 
08/11/2017 16:00:33 | SUCCESS | Add New Plan (0) | By-Test_ott025 | 
