14/11/2017 10:27:01 | SUCCESS | Plan active(planID:p399,Status:active) | By-Test_ott025 | 
14/11/2017 10:27:01 | SUCCESS | Plan inactive(planID:p844,Status:inactive) | By-Test_ott025 | 
14/11/2017 10:28:28 | SUCCESS | Add New HomeSettingTag(POP) | By-Test_ott025 | 
14/11/2017 10:33:57 | SUCCESS | Plan active(planID:p602,Status:active) | By-Test_ott025 | 
14/11/2017 10:34:10 | SUCCESS | update plan Detail(000000000000001) | By-Test_ott025 | 
14/11/2017 10:34:23 | SUCCESS | update plan Detail(2022222) | By-Test_ott025 | 
14/11/2017 10:35:18 | SUCCESS | update plan Detail(2022222) | By-Test_ott025 | 
14/11/2017 10:37:58 | SUCCESS | update plan Detail(022725555555555) | By-Test_ott025 | 
14/11/2017 10:45:55 | SUCCESS | update plan Detail(TESTING 1245677) | By-Test_ott025 | 
14/11/2017 10:48:17 | SUCCESS | update plan Detail(n Amount #) | By-Test_ott025 | 
14/11/2017 11:07:48 | SUCCESS | Add New Plan (N Amount) | By-Test_ott025 | 
14/11/2017 11:09:07 | SUCCESS | Plan inactive(planID:p903,Status:inactive) | By-Test_ott025 | 
14/11/2017 11:09:12 | SUCCESS | Delete Plan (p903) | By-Test_ott025 | delete from plandetail where planID='p903'
14/11/2017 11:19:12 | SUCCESS | Plan active(planID:p844,Status:active) | By-Test_ott025 | 
14/11/2017 11:43:35 | SUCCESS | Delete Plan (p366) | By-Test_ott025 | delete from plandetail where planID='p366'
14/11/2017 12:15:41 | SUCCESS | Home Setting active(HomeID:11,Status:active) | By-Test_ott025 | 
14/11/2017 12:15:47 | SUCCESS | Home Setting active(HomeID:6,Status:active) | By-Test_ott025 | 
14/11/2017 12:15:54 | SUCCESS | Home Setting active(HomeID:12,Status:active) | By-Test_ott025 | 
14/11/2017 12:30:40 | SUCCESS | Slider priority Set | By-Test_ott025 | 
14/11/2017 12:37:17 | SUCCESS | Home Setting inactive(HomeID:12,Status:inactive) | By-Test_ott025 | 
14/11/2017 12:37:31 | SUCCESS | Home Setting inactive(HomeID:8,Status:inactive) | By-Test_ott025 | 
14/11/2017 12:45:23 | SUCCESS | Slider priority Set | By-Test_ott025 | 
14/11/2017 12:46:31 | SUCCESS | update Slider Detail(,'fggg                      \r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nhjjjjjjjjjjjjjjjjjjjjjjjjj\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n@@@@@@@@@@@@@@@@@  ') | By-Test_ott025 | 
14/11/2017 12:46:31 | SUCCESS | update Slider Detail(,'fggg                      \r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nhjjjjjjjjjjjjjjjjjjjjjjjjj\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n@@@@@@@@@@@@@@@@@  ') | By-Test_ott025 | 
14/11/2017 12:46:31 | SUCCESS | update Slider Detail(,'fggg                      \r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nhjjjjjjjjjjjjjjjjjjjjjjjjj\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n@@@@@@@@@@@@@@@@@  ') | By-Test_ott025 | 
14/11/2017 12:46:31 | SUCCESS | update Slider Detail(,'fggg                      \r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nhjjjjjjjjjjjjjjjjjjjjjjjjj\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n@@@@@@@@@@@@@@@@@  ') | By-Test_ott025 | 
14/11/2017 12:49:17 | SUCCESS | update Slider Detail(0_jxr20m2r,'ggggggggg') | By-Test_ott025 | 
14/11/2017 14:20:09 | SUCCESS | Home Setting active(HomeID:13,Status:active) | By-Test_ott025 | 
14/11/2017 14:20:13 | SUCCESS | Delete HomeSettingTag (10) | By-Test_ott025 | delete from home_title_tag where tags_id='10'
14/11/2017 14:20:38 | SUCCESS | Home Setting active(HomeID:8,Status:active) | By-Test_ott025 | 
14/11/2017 14:20:59 | SUCCESS | Home Setting active(HomeID:15,Status:active) | By-Test_ott025 | 
14/11/2017 14:20:59 | SUCCESS | Delete HomeSettingTag (15) | By-Test_ott025 | delete from home_title_tag where tags_id='15'
14/11/2017 14:20:59 | SUCCESS | Home Setting active(HomeID:15,Status:active) | By-Test_ott025 | 
14/11/2017 14:20:59 | SUCCESS | Delete HomeSettingTag (15) | By-Test_ott025 | delete from home_title_tag where tags_id='15'
14/11/2017 14:21:09 | SUCCESS | Home Setting active(HomeID:16,Status:active) | By-Test_ott025 | 
14/11/2017 14:21:14 | SUCCESS | Home Setting inactive(HomeID:16,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:21:23 | SUCCESS | Home Setting active(HomeID:16,Status:active) | By-Test_ott025 | 
14/11/2017 14:25:10 | SUCCESS | Home Setting inactive(HomeID:7,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:25:47 | SUCCESS | update Slider Detail(0_z5z2bbzq,';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;') | By-Test_ott025 | 
