18/11/2017 14:51:17 | SUCCESS | update Slider Detail(0_t6iz4l0j,'') | By-Test_ott025 | 
18/11/2017 15:02:27 | SUCCESS | update plan Detail(7) | By-Test_ott025 | 
18/11/2017 15:02:35 | SUCCESS | update plan Detail(silver) | By-Test_ott025 | 
18/11/2017 15:03:31 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:03:43 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:04:03 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:04:17 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:04:54 | SUCCESS | update Slider Detail(0_4g8rpybw,'') | By-Test_ott025 | 
18/11/2017 15:05:30 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:07:44 | SUCCESS | update Slider Detail(0_t6iz4l0j,'') | By-Test_ott025 | 
18/11/2017 15:07:47 | SUCCESS | update Slider Detail(0_77zanc9r,'') | By-Test_ott025 | 
18/11/2017 15:07:50 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:07:53 | SUCCESS | update Slider Detail(0_4g8rpybw,'') | By-Test_ott025 | 
18/11/2017 15:07:57 | SUCCESS | Slider image inactive(SliderID:181,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:08:01 | SUCCESS | Slider image inactive(SliderID:183,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:08:04 | SUCCESS | Slider image inactive(SliderID:182,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:09:54 | SUCCESS | Slider image inactive(SliderID:184,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:10:13 | SUCCESS | update Slider Detail(0_4g8rpybw,'') | By-Test_ott025 | 
18/11/2017 15:10:17 | SUCCESS | update Slider Detail(0_t6iz4l0j,'') | By-Test_ott025 | 
18/11/2017 15:10:21 | SUCCESS | update Slider Detail(0_77zanc9r,'') | By-Test_ott025 | 
18/11/2017 15:10:26 | SUCCESS | update Slider Detail(0_k76ra66p,'') | By-Test_ott025 | 
18/11/2017 15:10:31 | SUCCESS | Home Setting inactive(HomeID:19,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:10:33 | SUCCESS | Home Setting inactive(HomeID:20,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:10:36 | SUCCESS | Home Setting inactive(HomeID:21,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:10:57 | SUCCESS | Home Setting priority Set | By-Test_ott025 | 
18/11/2017 15:37:58 | SUCCESS | update Slider Detail(0_77zanc9r,'++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++') | By-Test_ott025 | 
18/11/2017 15:38:03 | SUCCESS | update Slider Detail(0_77zanc9r,'++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++') | By-Test_ott025 | 
18/11/2017 15:39:13 | SUCCESS | update Slider Detail(0_4g8rpybw,'') | By-Test_ott025 | 
18/11/2017 15:39:18 | SUCCESS | Slider image active(SliderID:181,Status:active) | By-Test_ott025 | 
18/11/2017 15:39:21 | SUCCESS | Slider image inactive(SliderID:181,Status:inactive) | By-Test_ott025 | 
18/11/2017 15:39:28 | SUCCESS | Delete slider Image (181) | By-Test_ott025 | delete from slider_image_detail where img_id='181'
18/11/2017 15:46:18 | SUCCESS | update Slider Detail(0_77zanc9r,'++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++') | By-Test_ott025 | 
18/11/2017 15:54:13 | SUCCESS | update Slider Detail(0_k76ra66p,'8888888888888888***********************************%%%%%%%%%%%%%%%%%%%%%%%%%%%%##########################################################################################@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@') | By-Test_ott025 | 
18/11/2017 15:54:24 | SUCCESS | Slider priority Set | By-Test_ott025 | 
18/11/2017 15:58:34 | SUCCESS | Slider priority Set | By-Test_ott025 | 
18/11/2017 15:58:59 | SUCCESS | update HomeSettingTag Detail(ANIMALS) | By-Test_ott025 | 
18/11/2017 16:00:08 | SUCCESS | update Slider Detail(0_77zanc9r,'++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++') | By-Test_ott025 | 
18/11/2017 16:01:02 | SUCCESS | Slider priority Set | By-Test_ott025 | 
