13/12/2017 10:24:35 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 10:24:43 | SUCCESS | Slider image active(SliderID:185,Status:active) | By-varun_ott025 | 
13/12/2017 10:36:01 | SUCCESS | Create New Category(TESTNEW) | By-varun_ott025 | insert into categories(category_id,parent_id,dept,partner_id,cat_name,fullname,fullids,entry_count,direct_sub_categories_count,description,tags,created_at,updated_at,duser_id,priority,direct_entries_count) 
Select '157','149','1','101','TESTNEW','test>TESTNEW','149>157','0','0','test','test',NOW(),Now(),'86',ifnull(max(priority),0)+1,'0' from categories
13/12/2017 10:37:22 | SUCCESS | Update Category(TESTNEW1) | By-varun_ott025 | update categories set cat_name='TESTNEW1',description='test',tags='test',fullname='test>TESTNEW1' where category_id='157'
13/12/2017 10:38:10 | SUCCESS | delete Category(157) | By-varun_ott025 | DELETE FROM categories where category_id='157'
13/12/2017 10:39:38 | SUCCESS | Slider image inactive(SliderID:185,Status:inactive) | By-varun_ott025 | 
13/12/2017 10:39:40 | SUCCESS | Delete slider Image (185) | By-varun_ott025 | delete from slider_image_detail where img_id='185'
13/12/2017 10:45:18 | SUCCESS | Save New video(0_u2vmtn0c) | By-varun_ott025 | 
13/12/2017 10:45:34 | SUCCESS | Delete Video entry(0_u2vmtn0c) | By-varun_ott025 | 
13/12/2017 10:46:05 | SUCCESS | Save New video(0_ovuyx5yp) | By-varun_ott025 | 
13/12/2017 10:54:27 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 10:54:41 | SUCCESS | Slider image active(SliderID:186,Status:active) | By-varun_ott025 | 
13/12/2017 10:55:19 | SUCCESS | Slider image inactive(SliderID:186,Status:inactive) | By-varun_ott025 | 
13/12/2017 10:57:22 | SUCCESS | update Slider Detail(0_7t64txgh,'') | By-varun_ott025 | 
13/12/2017 10:58:39 | SUCCESS | update Slider Detail(0_4g8rpybw,'') | By-varun_ott025 | 
13/12/2017 10:58:51 | SUCCESS | update Slider Detail(0_4g8rpybw,'') | By-varun_ott025 | 
13/12/2017 10:59:40 | SUCCESS | update Slider Detail(,'') | By-varun_ott025 | 
13/12/2017 10:59:57 | SUCCESS | update Slider Detail(,'') | By-varun_ott025 | 
13/12/2017 11:00:59 | SUCCESS | Slider image active(SliderID:182,Status:active) | By-varun_ott025 | 
13/12/2017 11:04:09 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 11:04:35 | SUCCESS | update Slider Detail(0_q4k1cbrc,'') | By-varun_ott025 | 
13/12/2017 11:04:48 | SUCCESS | update Slider Detail(0_q4k1cbrc,'') | By-varun_ott025 | 
13/12/2017 11:04:55 | SUCCESS | update Slider Detail(0_q4k1cbrc,'') | By-varun_ott025 | 
13/12/2017 11:06:31 | SUCCESS | update Slider Detail(,'                                                            @@@@@@@@@@@@@______________+++++++++++++++++++++++++++!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!#                @______________+++++++++++++++++++++') | By-varun_ott025 | 
13/12/2017 11:06:40 | SUCCESS | Slider image active(SliderID:187,Status:active) | By-varun_ott025 | 
13/12/2017 11:08:17 | SUCCESS | Slider priority Set | By-varun_ott025 | 
13/12/2017 11:21:06 | SUCCESS | Create New Category(YY) | By-varun_ott025 | insert into categories(category_id,parent_id,dept,partner_id,cat_name,fullname,fullids,entry_count,direct_sub_categories_count,description,tags,created_at,updated_at,duser_id,priority,direct_entries_count) 
Select '158','148','1','101','YY','LIVE TV>YY','148>158','0','0','','',NOW(),Now(),'86',ifnull(max(priority),0)+1,'0' from categories
13/12/2017 11:25:00 | SUCCESS | Create New Category(rrrrr) | By-varun_ott025 | insert into categories(category_id,parent_id,dept,partner_id,cat_name,fullname,fullids,entry_count,direct_sub_categories_count,description,tags,created_at,updated_at,duser_id,priority,direct_entries_count) 
