15/12/2018 05:57:41 | SUCCESS | login-(varun) | By-varun_ott025 | 
15/12/2018 06:32:43 | SUCCESS | login-(varun) | By-varun_ott025 | 
15/12/2018 06:34:07 | SUCCESS | login-(varun) | By-varun_ott025 | 
15/12/2018 07:27:33 | SUCCESS | login-(varun) | By-varun_ott025 | 
15/12/2018 08:56:41 | SUCCESS | login-(varun) | By-varun_ott025 | 
15/12/2018 09:15:16 | SUCCESS | login-(varun) | By-varun_ott025 | 
15/12/2018 14:47:37 | SUCCESS | Header Menu active(HeaderID:13,Status:active) | By-varun_ott025 | 
15/12/2018 14:47:40 | SUCCESS | Header Menu active(HeaderID:16,Status:active) | By-varun_ott025 | 
15/12/2018 14:48:34 | SUCCESS | Header Menu active(HeaderID:13,Status:active) | By-varun_ott025 | 
15/12/2018 14:49:52 | SUCCESS | Header Menu active(HeaderID:13,Status:active) | By-varun_ott025 | 
15/12/2018 14:50:45 | SUCCESS | Header Menu active(HeaderID:14,Status:active) | By-varun_ott025 | 
15/12/2018 14:50:46 | SUCCESS | Header Menu active(HeaderID:13,Status:active) | By-varun_ott025 | 
